country,iso2,rank,highway_tag,interpretation,ways,maxspeed_tagged,maxspeed_share_pct
Netherlands,NL,1,service,"Access roads to premises, parking, and service areas.",484148,56195,11.6070
Netherlands,NL,1,residential,Roads primarily serving housing areas.,367805,363307,98.7771
Netherlands,NL,1,secondary,Secondary inter-settlement connectors in the network hierarchy.,73751,73438,99.5756
Netherlands,NL,1,tertiary,Tertiary connectors between local centers.,118032,117567,99.6060
Netherlands,NL,1,unclassified,Minor public through roads (not unknown class).,195421,190515,97.4895
Netherlands,NL,1,primary,Primary roads with high network importance below trunk/motorway.,48205,48021,99.6183
Netherlands,NL,1,living_street,Traffic-calmed shared street.,29481,29400,99.7252
Netherlands,NL,1,motorway,Controlled-access motorway corridor.,13664,13651,99.9049
Netherlands,NL,1,motorway_link,Motorway ramps/connectors.,13408,13347,99.5450
Netherlands,NL,1,trunk,Major non-motorway long-distance routes.,8619,8557,99.2807
Netherlands,NL,1,trunk_link,Connector ramps between trunk and other classes.,3483,3431,98.5070
Netherlands,NL,1,primary_link,Connector ramps related to primary roads.,2526,2499,98.9311
Netherlands,NL,1,secondary_link,Connector ramps related to secondary roads.,1213,1188,97.9390
Netherlands,NL,1,tertiary_link,Connector ramps related to tertiary roads.,324,310,95.6790
Netherlands,NL,1,road,Temporary placeholder until precise class is surveyed.,21,0,0.0000
Romania,RO,2,service,"Access roads to premises, parking, and service areas.",166591,42915,25.7607
Romania,RO,2,residential,Roads primarily serving housing areas.,304541,234475,76.9929
Romania,RO,2,secondary,Secondary inter-settlement connectors in the network hierarchy.,43830,37297,85.0947
Romania,RO,2,tertiary,Tertiary connectors between local centers.,37346,28555,76.4607
Romania,RO,2,unclassified,Minor public through roads (not unknown class).,25673,12274,47.8090
Romania,RO,2,primary,Primary roads with high network importance below trunk/motorway.,33575,31882,94.9576
Romania,RO,2,living_street,Traffic-calmed shared street.,34889,10666,30.5712
Romania,RO,2,motorway,Controlled-access motorway corridor.,3369,3279,97.3286
Romania,RO,2,motorway_link,Motorway ramps/connectors.,1606,1310,81.5691
Romania,RO,2,trunk,Major non-motorway long-distance routes.,15382,14008,91.0675
Romania,RO,2,trunk_link,Connector ramps between trunk and other classes.,1317,841,63.8573
Romania,RO,2,primary_link,Connector ramps related to primary roads.,1655,1305,78.8520
Romania,RO,2,secondary_link,Connector ramps related to secondary roads.,956,715,74.7908
Romania,RO,2,tertiary_link,Connector ramps related to tertiary roads.,510,360,70.5882
Romania,RO,2,road,Temporary placeholder until precise class is surveyed.,8,2,25.0000
Luxembourg,LU,3,service,"Access roads to premises, parking, and service areas.",22110,1310,5.9249
Luxembourg,LU,3,residential,Roads primarily serving housing areas.,14124,10907,77.2232
Luxembourg,LU,3,secondary,Secondary inter-settlement connectors in the network hierarchy.,7792,7480,95.9959
Luxembourg,LU,3,tertiary,Tertiary connectors between local centers.,1494,1338,89.5582
Luxembourg,LU,3,unclassified,Minor public through roads (not unknown class).,2836,1288,45.4161
Luxembourg,LU,3,primary,Primary roads with high network importance below trunk/motorway.,6101,5805,95.1483
Luxembourg,LU,3,living_street,Traffic-calmed shared street.,878,799,91.0023
Luxembourg,LU,3,motorway,Controlled-access motorway corridor.,861,859,99.7677
Luxembourg,LU,3,motorway_link,Motorway ramps/connectors.,696,576,82.7586
Luxembourg,LU,3,trunk,Major non-motorway long-distance routes.,137,135,98.5401
Luxembourg,LU,3,trunk_link,Connector ramps between trunk and other classes.,79,54,68.3544
Luxembourg,LU,3,primary_link,Connector ramps related to primary roads.,193,150,77.7202
Luxembourg,LU,3,secondary_link,Connector ramps related to secondary roads.,79,57,72.1519
Luxembourg,LU,3,tertiary_link,Connector ramps related to tertiary roads.,20,8,40.0000
Luxembourg,LU,3,road,Temporary placeholder until precise class is surveyed.,1,0,0.0000
Belgium,BE,4,service,"Access roads to premises, parking, and service areas.",276828,11301,4.0823
Belgium,BE,4,residential,Roads primarily serving housing areas.,239715,116676,48.6728
Belgium,BE,4,secondary,Secondary inter-settlement connectors in the network hierarchy.,45399,34775,76.5986
Belgium,BE,4,tertiary,Tertiary connectors between local centers.,73917,46548,62.9733
Belgium,BE,4,unclassified,Minor public through roads (not unknown class).,101992,29906,29.3219
Belgium,BE,4,primary,Primary roads with high network importance below trunk/motorway.,39401,34322,87.1095
Belgium,BE,4,living_street,Traffic-calmed shared street.,9701,6387,65.8386
Belgium,BE,4,motorway,Controlled-access motorway corridor.,7705,7598,98.6113
Belgium,BE,4,motorway_link,Motorway ramps/connectors.,7402,4074,55.0392
Belgium,BE,4,trunk,Major non-motorway long-distance routes.,8425,7843,93.0920
Belgium,BE,4,trunk_link,Connector ramps between trunk and other classes.,2676,1499,56.0164
Belgium,BE,4,primary_link,Connector ramps related to primary roads.,1265,725,57.3123
Belgium,BE,4,secondary_link,Connector ramps related to secondary roads.,985,504,51.1675
Belgium,BE,4,tertiary_link,Connector ramps related to tertiary roads.,574,294,51.2195
Belgium,BE,4,road,Temporary placeholder until precise class is surveyed.,125,0,0.0000
Sweden,SE,5,service,"Access roads to premises, parking, and service areas.",599182,31157,5.1999
Sweden,SE,5,residential,Roads primarily serving housing areas.,231711,192068,82.8912
Sweden,SE,5,secondary,Secondary inter-settlement connectors in the network hierarchy.,43739,42902,98.0864
Sweden,SE,5,tertiary,Tertiary connectors between local centers.,92289,83546,90.5265
Sweden,SE,5,unclassified,Minor public through roads (not unknown class).,202122,35447,17.5374
Sweden,SE,5,primary,Primary roads with high network importance below trunk/motorway.,16866,16781,99.4960
Sweden,SE,5,living_street,Traffic-calmed shared street.,7480,2169,28.9973
Sweden,SE,5,motorway,Controlled-access motorway corridor.,8473,8471,99.9764
Sweden,SE,5,motorway_link,Motorway ramps/connectors.,5851,5667,96.8552
Sweden,SE,5,trunk,Major non-motorway long-distance routes.,18896,18729,99.1162
Sweden,SE,5,trunk_link,Connector ramps between trunk and other classes.,4126,3303,80.0533
Sweden,SE,5,primary_link,Connector ramps related to primary roads.,1997,1530,76.6149
Sweden,SE,5,secondary_link,Connector ramps related to secondary roads.,1335,1184,88.6891
Sweden,SE,5,tertiary_link,Connector ramps related to tertiary roads.,525,444,84.5714
Sweden,SE,5,road,Temporary placeholder until precise class is surveyed.,952,45,4.7269
Liechtenstein,LI,6,service,"Access roads to premises, parking, and service areas.",3135,97,3.0941
Liechtenstein,LI,6,residential,Roads primarily serving housing areas.,1230,863,70.1626
Liechtenstein,LI,6,secondary,Secondary inter-settlement connectors in the network hierarchy.,303,282,93.0693
Liechtenstein,LI,6,tertiary,Tertiary connectors between local centers.,101,87,86.1386
Liechtenstein,LI,6,unclassified,Minor public through roads (not unknown class).,321,196,61.0592
Liechtenstein,LI,6,primary,Primary roads with high network importance below trunk/motorway.,291,286,98.2818
Liechtenstein,LI,6,living_street,Traffic-calmed shared street.,19,18,94.7368
Liechtenstein,LI,6,motorway,Controlled-access motorway corridor.,0,0,0.0000
Liechtenstein,LI,6,motorway_link,Motorway ramps/connectors.,0,0,0.0000
Liechtenstein,LI,6,trunk,Major non-motorway long-distance routes.,0,0,0.0000
Liechtenstein,LI,6,trunk_link,Connector ramps between trunk and other classes.,0,0,0.0000
Liechtenstein,LI,6,primary_link,Connector ramps related to primary roads.,3,3,100.0000
Liechtenstein,LI,6,secondary_link,Connector ramps related to secondary roads.,4,4,100.0000
Liechtenstein,LI,6,tertiary_link,Connector ramps related to tertiary roads.,0,0,0.0000
Liechtenstein,LI,6,road,Temporary placeholder until precise class is surveyed.,0,0,0.0000
Iceland,IS,7,service,"Access roads to premises, parking, and service areas.",33415,1905,5.7010
Iceland,IS,7,residential,Roads primarily serving housing areas.,10419,7663,73.5483
