case_id,category,source_file,log_name,log_index,fix_id,lat,lon,course_deg,speed_kmh,horizontal_acc_m,gps_signal_bars,status,live_way_id,live_street,pseudo_label_way_id,pseudo_label_street,oracle_way_id,oracle_street,candidate_label_source,manual_audit_status,manual_correct_way_id,manual_evidence_note
H001,urban_dense_low_gps,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,202603101_drive_match_log.ndjson,4,5,48.76303977304451,8.337517331217184,,35.54666290283203,30.46823708232911,1,matched,1414058739,Igelbachstrasse (L 78),,,1414058738,Igelbachstrasse,valhalla_oracle,ambiguous,,Target has 30m horizontal accuracy and no course; adjacent Igelbach segments 1414058738 and 1414058739 are both plausible.
H002,urban_same_name_parallel,tmp/m7_alllogs_replay.diff.csv,202603101_drive_match_log.ndjson,37,38,48.768398429308384,8.335824648498907,10.953356742858887,46.80609626220474,2.0000090258640886,3,matched,1037006038,Bleichstrasse,16634524,Bleichstrasse,,,hindsight_pseudo_label,audited,1037006038,Good GPS 2m; target trace is still closest to 1037006038 and the following fix switches to 16634524 at the segment boundary.
H003,urban_transition_unnamed_to_named,tmp/m7_alllogs_replay.diff.csv,202603101_drive_match_log.ndjson,46,47,48.769413291815695,8.336314509033512,32.94578746669926,42.61424009128587,1.9999999370569121,3,matched,209216906,,4993894,Hoerdener Strasse,,,hindsight_pseudo_label,audited,209216906,Good GPS 2m; current fix is on service connector 209216906 before following fixes settle on Hoerdener Strasse 4993894.
H004,tunnel_portal,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20260320_110052_701_drive_match_log.ndjson,867,868,48.76669613526611,8.336360685183326,342.85036123849477,39.328194808959964,8.144254322030402,3,matched,4287421,Tunnel Gernsbach (B 462),4287421,Tunnel Gernsbach (B 462),209270481,Gottlieb-Klumpp-Strasse,valhalla_oracle,audited,4287421,Trace remains on tunnel way through fixes 865-872 with improving GPS; surface candidates are parallel portal alternatives.
H005,tunnel_low_speed_exit,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20260320_110052_701_drive_match_log.ndjson,872,873,48.76691135353361,8.336288191674713,343.22484685030827,8.556729697642234,2.7285895359098844,4,matched,4287421,Tunnel Gernsbach (B 462),4287421,Tunnel Gernsbach (B 462),1251752493,Gottlieb-Klumpp-Strasse,valhalla_oracle,audited,4287421,Low speed exit window stays on tunnel way through fixes 868-878; tunnel distance remains under 1m despite surface alternatives.
H006,low_speed_intersection,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20250316 drive_match_log.ndjson,0,15,48.88000666666667,8.717868333333334,310.2900085449219,0,2.4000000953674316,4,matched,27342168,,,,28476090,August-Kayser-Strasse,valhalla_oracle,ambiguous,,Vehicle is stationary at log start and parking-service candidates overlap August-Kayser-Strasse; exact driving lane cannot be resolved.
H007,same_ref_parallel,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20250316 drive_match_log.ndjson,95,110,48.8840867,8.7115283,20,32.17549095153809,2,4,matched,992307948,Tiefenbronner Strasse (K 9800),144236908,Tiefenbronner Strasse (K 9800),144236908,Tiefenbronner Strasse,both_pseudo_and_oracle,audited,992307948,Good GPS 2m; current fix lies on 992307948 before following fixes switch to 144236908 on the same K9800 corridor.
H008,same_name_release,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20250316 drive_match_log.ndjson,36,51,48.881795,8.716109999999999,305.739990234375,14.149508285522462,2.200000047683716,4,matched,141045556,August-Kayser-Strasse,,,28476090,August-Kayser-Strasse,valhalla_oracle,audited,141045556,Good GPS 2.2m; current fix has zero-distance match on 141045556 after August-Kayser sequence and before Kantstrasse turn.
H009,distance_fallback_unknown,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20250316 drive_match_log.ndjson,720,735,48.902370000000005,8.659713333333334,302.1199951171875,32.76474609375,7.699999809265137,4,matched,27436954,,,,731900712,Karlsruher Strasse,valhalla_oracle,ambiguous,,Several candidates overlap near the fallback point and the live service way lacks street name; trace window does not isolate one way.
H010,no_match_gap,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20250316 drive_match_log.ndjson,968,983,48.90531333333333,8.65062,203.17999267578125,40.135978317260744,7.699999809265137,4,no_match,146978438,Westtangente (B 294),146978438,Westtangente (B 294),300533947,,hindsight_pseudo_label,audited,300533947,Good GPS and no-match gap; target coordinate is 0.3m from trunk_link 300533947 while Westtangente label is about 53m away.
H011,motorway_highspeed_same_ref,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20260314_171804_881_drive_match_log.ndjson,1553,1558,48.96216349969926,8.412732059179971,59.72257614135742,115.3109914849154,1.999999998504513,4,matched,268387538,A 5,268387538,A 5,584868156,A 5,valhalla_oracle,audited,268387538,High-speed A5 transition with 2m GPS; target and following five fixes are stable on 268387538 and Valhalla alternative is speed-equivalent A5.
H012,low_gps_high_uncertainty,tmp/20260320_bw_valhalla_oracle_benchmark.diff.csv,20250316 drive_match_log.ndjson,1090,1105,48.887435,8.6473733,167,63.81175918579102,89.19999694824219,0,matched,106625239,Westtangente (B 463),,,932839163,,valhalla_oracle,ambiguous,,Horizontal accuracy is about 89m with zero GPS bars and nearby Westtangente and service ways overlap; exact way id is not defensible.
